Destination Port,Flow Duration,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Bwd IAT Std,Bwd IAT Max,Fwd PSH Flags,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Bytes,Init_Win_bytes_backward,Idle Mean,Idle Std,Idle Max,Idle Min,Label
53,239,106,53,53,53.0,101,101,101.0,0.0,79.66666667,53.9845657,142,49,49.0,0.0,49,0.0,48,0,53,101,72.2,26.29068276,691.2,0,0,0,0,0,1,90.25,53.0,101.0,106,-1,0.0,0.0,0,0,0
53,30712,60,60,60,60.0,76,76,76.0,0.0,30712.0,0.0,30712,0,0.0,0.0,0,0.0,0,0,60,76,65.3333333333,9.237604307,85.3333333333,0,0,0,0,0,1,98.0,60.0,76.0,60,-1,0.0,0.0,0,0,0
443,5851016,599,517,0,85.57142857,141,0,35.25,70.5,585101.6,1813850.651,5747137,5851016,975169.3333,2366953.242,5806657,30122.73255,59899,0,0,517,61.66666667,149.2705496,22281.69697,0,0,1,0,0,0,67.27272727,85.57142857,35.25,599,31,5747137.0,0.0,5747137,5747137,0
9898,27,0,0,0,0.0,6,6,6.0,0.0,27.0,0.0,27,0,0.0,0.0,0,0.0,0,0,0,6,2.0,3.464101615,12.0,0,0,1,0,0,1,3.0,0.0,6.0,0,0,0.0,0.0,0,0,1
53,165,68,34,34,34.0,66,66,66.0,0.0,55.0,89.20201791,158,4,4.0,0.0,4,0.0,3,0,34,66,46.8,17.52712184,307.2,0,0,0,0,0,1,58.5,34.0,66.0,68,-1,0.0,0.0,0,0,0
80,82053,433,427,0,144.3333333,1460,0,455.6,660.1990609,11721.85714,15345.40362,32654,48320,24160.0,12098.59703,32715,24000.22774,48354,0,0,1460,301.2222222,518.0564105,268382.4444,0,0,1,0,0,1,338.875,144.3333333,455.6,433,237,0.0,0.0,0,0,0
443,4985822,123,46,0,24.6,46,46,46.0,0.0,997164.4,2175486.248,4888660,4985822,1246455.5,2428353.04,4888660,0.0,0,1,0,46,30.71428571,21.68497395,470.2380952,0,1,0,1,0,0,35.83333333,24.6,46.0,123,118,0.0,0.0,0,0,0
53,106279,84,42,42,42.0,128,128,128.0,0.0,35426.33333,61353.28106,106271,4,4.0,0.0,4,0.0,4,0,42,128,76.4,47.10413995,2218.8,0,0,0,0,0,1,95.5,42.0,128.0,84,-1,0.0,0.0,0,0,0
53,129,74,37,37,37.0,77,77,77.0,0.0,43.0,70.14983963,124,3,3.0,0.0,3,0.0,2,0,37,77,53.0,21.9089023,480.0,0,0,0,0,0,1,66.25,37.0,77.0,74,-1,0.0,0.0,0,0,0
53,239,68,34,34,34.0,178,178,178.0,0.0,79.66666667,54.84827557,143,48,48.0,0.0,48,0.0,48,0,34,178,91.6,78.87204828,6220.8,0,0,0,0,0,1,114.5,34.0,178.0,68,-1,0.0,0.0,0,0,0
80,85758276,325,325,0,40.625,5792,0,1656.428571,1947.638216,6125591.143,22900000.0,85600000,85600000,12200000.0,32300000.0,85600000,60601.76186,151107,0,0,5792,745.0,1487.532229,2212752.133,0,0,0,1,0,0,794.6666667,40.625,1656.428571,325,235,85600000.0,0.0,85600000,85600000,1
54694,3,12,6,6,6.0,0,0,0.0,0.0,3.0,0.0,3,3,3.0,0.0,3,0.0,0,0,6,6,6.0,0.0,0.0,0,0,0,1,0,0,9.0,6.0,0.0,12,-1,0.0,0.0,0,0,0
80,46058755,952,948,0,119.0,523,0,65.375,184.9084233,3070583.667,4558961.989,9995611,40000000,5713384.0,5294822.007,10000000,4703720.257,10000000,0,0,948,86.76470588,255.4724861,65266.19118,0,0,1,0,0,1,92.1875,119.0,65.375,952,31,9946860.5,97484.33366,9995611,9800634,0
51797,5588,460,258,6,76.66666667,6,6,6.0,0.0,931.3333333,2063.918183,5136,5588,1117.6,2311.239343,5244,0.0,0,1,6,258,90.5,106.0727513,11251.42857,0,1,0,1,0,0,103.4285714,76.66666667,6.0,460,0,0.0,0.0,0,0,0
80,4,0,0,0,0.0,0,0,0.0,0.0,4.0,0.0,4,4,4.0,0.0,4,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,-1,0.0,0.0,0,0,1
56242,29,6,6,6,6.0,6,6,6.0,0.0,29.0,0.0,29,0,0.0,0.0,0,0.0,0,0,6,6,6.0,0.0,0.0,0,0,0,1,1,1,9.0,6.0,6.0,6,64209,0.0,0.0,0,0,0
137,4,124,62,62,62.0,0,0,0.0,0.0,4.0,0.0,4,4,4.0,0.0,4,0.0,0,0,62,62,62.0,0.0,0.0,0,0,0,0,0,0,93.0,62.0,0.0,124,-1,0.0,0.0,0,0,0
2045,21,2,2,2,2.0,6,6,6.0,0.0,21.0,0.0,21,0,0.0,0.0,0,0.0,0,0,2,6,3.333333333,2.309401077,5.333333333,0,0,1,0,0,1,5.0,2.0,6.0,2,0,0.0,0.0,0,0,1
80,455939,620,620,0,206.6666667,526,0,131.5,263.0,75989.83333,117132.3297,238744,238888,119444.0,168807.6019,238809,123663.518,215188,0,0,620,143.25,266.4345269,70987.35714,0,0,1,0,0,1,163.7142857,206.6666667,131.5,620,5000,0.0,0.0,0,0,0
80,1,0,0,0,0.0,0,0,0.0,0.0,1.0,0.0,1,1,1.0,0.0,1,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,-1,0.0,0.0,0,0,1
53,129268,64,32,32,32.0,89,89,89.0,0.0,43089.33333,74627.71845,129262,3,3.0,0.0,3,0.0,3,0,32,89,54.8,31.22018578,974.7,0,0,0,0,0,1,68.5,32.0,89.0,64,-1,0.0,0.0,0,0,0
443,5447603,375,194,0,46.875,3238,0,871.5,1581.686336,495236.6364,1581851.932,5264091,5447603,778229.0,1978433.32,5264091,21607.12031,45623,0,0,3238,297.0,887.4656801,787595.3333,0,0,1,0,0,0,321.75,46.875,871.5,375,946,5264091.0,0.0,5264091,5264091,0
80,115548036,935,935,0,42.5,1441,0,111.6,347.7965830164,2818244.7804878,4474036.540966,10020855,115548036,5502287.42857143,4968517.34181845,10036014,5064788.01036185,10035871,0,0,1441,73.6511627907,275.5233015572,75913.0897009967,0,0,1,0,0,0,75.4047619048,42.5,111.6,935,61,10002408.3636364,6202.7260180138,10020855,9997513,0
80,979,0,0,0,0.0,0,0,0.0,0.0,979.0,0.0,979,979,979.0,0.0,979,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,-1,0.0,0.0,0,0,1
80,115713306,446,446,0,27.875,979,0,69.92857143,261.6487558,3990114.0,4879564.341,10000000,116000000,7714220.4,4167701.644,10000000,3758717.541,10000000,0,0,979,45.96774194,190.7749955,36395.09892,0,0,1,0,0,0,47.5,27.875,69.92857143,446,118,10000000.0,4546.465032,10000000,9997646,0
53,10186360,88,45,43,44.0,132,90,111.0,29.69848481,3395453.333,5623792.726,9888168,9934615,9934615.0,0.0,9934615,0.0,10100000,0,43,132,71.0,39.42714801,1554.5,0,0,0,0,0,1,88.75,44.0,111.0,88,-1,9888168.0,0.0,9888168,9888168,0
80,1040867,26,20,0,8.666666667,5840,0,1934.5,2538.919278,130108.375,367525.3047,1039687,793,396.5,467.3975824,727,464848.0953,1039687,0,0,5840,1163.3,2138.329153,4572451.567,0,0,1,0,0,2,1292.555556,8.666666667,1934.5,26,229,0.0,0.0,0,0,1
80,344146,26,20,0,8.666666667,2920,0,1657.285714,1299.172136,38238.44444,111459.3822,335383,8017,4008.5,5666.046638,8015,136247.6327,335383,0,0,2920,1057.0,1306.290856,1706395.8,0,0,1,0,0,2,1162.7,8.666666667,1657.285714,26,229,0.0,0.0,0,0,1
53,251,64,32,32,32.0,102,102,102.0,0.0,83.66666667,62.64449963,156,47,47.0,0.0,47,0.0,48,0,32,102,60.0,38.34057903,1470.0,0,0,0,0,0,1,75.0,32.0,102.0,64,-1,0.0,0.0,0,0,0
53,305,102,51,51,51.0,112,112,112.0,0.0,101.6666667,92.12129685,187,4,4.0,0.0,4,0.0,187,0,51,112,75.4,33.41107601,1116.3,0,0,0,0,0,1,94.25,51.0,112.0,102,-1,0.0,0.0,0,0,0
687,93,2,2,2,2.0,6,6,6.0,0.0,93.0,0.0,93,0,0.0,0.0,0,0.0,0,0,2,6,3.333333333,2.309401077,5.333333333,0,0,1,0,0,1,5.0,2.0,6.0,2,0,0.0,0.0,0,0,1
443,119633048,2092,517,0,80.46153846,1430,0,567.6774194,662.3540537,2136304.429,11000000.0,58900000,120000000,4785321.92,16200000.0,58900000,14900000.0,59000000,0,0,1430,339.4827586,548.6267782,300991.3418,0,0,1,0,0,1,345.4385965,80.46153846,567.6774194,2092,377,58600000.0,453821.1322,58900000,58300000,0
53,170,86,43,43,43.0,102,102,102.0,0.0,56.66666667,92.08872533,163,4,4.0,0.0,4,0.0,3,0,43,102,66.6,32.31563089,1044.3,0,0,0,0,0,1,83.25,43.0,102.0,86,-1,0.0,0.0,0,0,0
