sttl,dttl,sloss,dloss,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,dmeansz,Sjit,Stime,Ltime,tcprtt,synack,ackdat,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,srcip_175.45,srcip_59.166,sport_0,sport_other,dsport_0,dsport_53,dsport_110,dsport_135,dsport_179,dsport_445,dsport_514,dsport_520,dsport_other,state_CON,state_FIN,state_INT,Label
31,29,18,8,13073101.0,1144187.375,52,40,255,255,2618841656,2624067951,82,24.23647,1421944932,1421944932,0.000671,0.000531,0.00014,0,20,5,5,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,29,0,0,1856038.125,1085068.375,4,4,0,0,0,0,76,0.608583,1421941849,1421941849,0.0,0.0,0.0,0,6,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
31,29,0,0,86395.47656,50508.125,4,4,0,0,0,0,76,9.887945,1421941774,1421941774,0.0,0.0,0.0,0,5,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
31,29,7,16,1008801.938,9047243.0,46,46,255,255,2447722253,298439843,560,31.083907,1421949788,1421949788,0.000673,0.000517,0.000156,0,5,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,18,8,144762.1875,13101.00879,52,42,255,255,1016446980,1144550846,80,3054.320311,1421930813,1421930815,0.000704,0.000567,0.000137,0,5,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,29,4,1,100238.1719,3228.029541,14,6,255,255,3096155607,3171072564,53,4516.653525,1421932857,1421932857,0.000674,0.000574,0.0001,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,7,7,3829313.5,5561622.0,32,24,255,255,767874907,2917764344,228,14.597644,1421938239,1421938239,0.000696,0.000573,0.000123,0,4,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,29,7,39,1007382.625,16901074.0,90,92,255,255,3980089339,1839825583,943,0.0,1421943195,1421943195,0.000708,0.000564,0.000144,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,6,7,156657.75,184988.625,24,26,255,255,3255086041,1110010708,93,401.449324,1421936450,1421936450,0.00093,0.000752,0.000178,0,6,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,7,7,5799392.0,3525835.75,18,18,255,255,1808728037,1811956844,136,14.460729,1421945539,1421945539,0.000948,0.000479,0.000469,0,5,2,2,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
