Dataset,Model,Accuracy,Precision,Recall,F1,ROC AUC
CIC_IDS2017,Random Forest,0.9959577630224103,0.9943303161400524,0.9976240228267668,0.9959733798649428,0.9959541289376022
CIC_IDS2017,XGBoost,0.9961771005388744,0.9941495943692796,0.9982492573483428,0.9961939102112914,0.9961724856615564
CIC_IDS2017,LightGBM,0.9961457722180724,0.9950106282203216,0.9973112492182612,0.9961589111974872,0.9961431998046312
UNSW,Random Forest,0.99829094336162,0.9969238265756828,0.9996618051000876,0.998290581853326,0.9982933598279504
UNSW,XGBoost,0.9984597330883066,0.9971765292356182,0.9997463359538492,0.9984592511489948,0.9984620031277774
UNSW,LightGBM,0.99852302867934,0.9973867875058432,0.9996617514864384,0.9985223681679076,0.9985250272674396
CREDIT,Random Forest,0.9997990139090328,0.9995982674796366,1.0,0.9997990580728834,0.9997990454532836
CREDIT,XGBoost,0.9995728832557664,0.9991466869477752,1.0,0.9995730977414748,0.9995729148000172
CREDIT,LightGBM,0.9997487626527514,0.9994978154454828,1.0,0.999748819439374,0.999748794197002
LITNET,Random Forest,0.9987152739340978,0.9976993984663929,0.9997364085381053,0.9987166610149817,0.9987153715944809
LITNET,XGBoost,0.9969364333109768,0.9939126080650216,1.0,0.9969462411523139,0.9969367588932807
LITNET,LightGBM,0.9987482011577707,0.9976999156449663,0.999802284690938,0.9987497180296021,0.9987483096708972
UGR,Random Forest,0.9657635139262066,0.9552855279339983,0.9773084749227768,0.9661653477794476,0.9657606625019723
UGR,XGBoost,0.9439986334376236,0.9203473844092244,0.9721970173010412,0.9455387372791372,0.943991647393065
UGR,LightGBM,0.9496608596328092,0.9287954259525166,0.9740600062700472,0.9508766672517628,0.949654770295704
