Dataset,Model,Accuracy,Precision,Recall,F1,ROC AUC
CIC_IDS2017,Random Forest,0.9966710514897882,0.9955511753422056,0.9978016652629124,0.9966747940028,0.9966710908591924
CIC_IDS2017,XGBoost,0.9969222683275089,0.9956775501106984,0.998178431391105,0.9969262074721488,0.9969222288466816
CIC_IDS2017,LightGBM,0.9970164992939582,0.9958647746854334,0.998178431391105,0.9970200448234616,0.9970164696678624
UNSW,Random Forest,0.998146530358641,0.9968923209509704,0.9994102425098988,0.998149209384535,0.9981465170332772
UNSW,XGBoost,0.9982518378565348,0.9972695162525786,0.999241715011373,0.9982539807522786,0.9982518156556972
UNSW,LightGBM,0.9983571497912308,0.9974372317820756,0.9992838380105308,0.9983590271495792,0.9983571320290648
CREDIT,Random Forest,0.9997739009036642,0.999648543949782,0.9998995227266418,0.9997739513693936,0.9997739198251429
CREDIT,XGBoost,0.9996734173252598,0.99939753983247,0.9999497487437186,0.999673524555439,0.9996734299321822
CREDIT,LightGBM,0.999648285385733,0.9994476397548862,0.9998492714703604,0.9996483673893826,0.9996482916844392
LITNET,Random Forest,0.9987483530961792,0.9978963781693408,0.9996047430830041,0.998749610036841,0.9987483530961792
LITNET,XGBoost,0.997463768115942,0.995539300170669,0.999407114624506,0.997469061462759,0.997463768115942
LITNET,LightGBM,0.9987154150197629,0.9978307622215569,0.9996047430830041,0.9987167694992527,0.9987154150197629
UGR,Random Forest,0.9924246318112352,0.9865524816100316,0.998470568835936,0.9924726972697764,0.9924246715127087
UGR,XGBoost,0.986665490198766,0.9762095676074504,0.9976580406873864,0.9868138295734322,0.986665444041369
UGR,LightGBM,0.9908474395261232,0.9839971262607108,0.9979448475707516,0.9909159063729606,0.9908475533943156
