Dataset,Model,Accuracy,Precision,Recall,F1,ROC AUC
CIC_IDS2017,Decision Tree,0.9933810566503848,0.9832653249851766,0.9829477343562694,0.9830728512975482,0.9894324296073556
CIC_IDS2017,Random Forest,0.9949474788307532,0.9901523186356058,0.9839819920615892,0.9870348326877856,0.9907975484097642
CIC_IDS2017,Bagging,0.9949474788307532,0.988413825747039,0.9857901116172514,0.987064166332638,0.9914817392257111
CIC_IDS2017,XGBoost,0.9953011928277212,0.9891575402145456,0.9868237033485175,0.9879665630415976,0.9920927759125248
CIC_IDS2017,MLP,0.9093068634806888,0.7672291443922477,0.8563740376674923,0.7948295777910556,0.8892783157136259
CIC_IDS2017,TabNet,0.9451803277851786,0.9137005446633188,0.8054589893177762,0.8395519699722719,0.8923027138622496
CIC_IDS2017,SVM,0.8044159380566658,0.0,0.0,0.0,0.5
CIC_IDS2017,LightGBM,0.9954526569382556,0.9904310356902092,0.9863069074828844,0.988345082351302,0.9919913934399348
CIC_IDS2017,TabTransformer,0.9205231700532356,0.8947491127152768,0.6788806308106236,0.76767787483828,0.8290766641294726
UNSW,Decision Tree,0.9957142857142858,0.9374496862540324,0.9251025290498974,0.9305160197061956,0.9615402859187462
UNSW,Random Forest,0.9964489795918368,0.9265894924586586,0.9631749829118248,0.9440752500864412,0.9803448274788694
UNSW,Bagging,0.9961632653061224,0.937588603609008,0.9395762132604236,0.9381751998777222,0.9687771191485351
UNSW,XGBoost,0.9964489795918368,0.941124907081458,0.946138072453862,0.9430656641009918,0.9721001983708336
UNSW,MLP,0.968938775510204,0.0,0.0,0.0,0.5
UNSW,TabNet,0.9942448979591838,0.8791157355393568,0.9513841421736158,0.9121182071980908,0.973501630753246
UNSW,SVM,0.968938775510204,0.0,0.0,0.0,0.5
UNSW,LightGBM,0.9961632653061224,0.9292777194487776,0.9500683526999316,0.9390935180790712,0.973854696871659
UNSW,TabTransformer,0.968938775510204,0.0,0.0,0.0,0.5
CREDIT,Decision Tree,0.9982945072045036,0.5033333333333333,0.4583333333333333,0.4595238095238095,0.7287396193254907
CREDIT,Random Forest,0.9990468646280036,0.75,0.5166666666666666,0.5866666666666667,0.7582328560599751
CREDIT,Bagging,0.9989967141766496,0.7383333333333333,0.5249999999999999,0.5803174603174603,0.7623743970985011
CREDIT,XGBoost,0.9990970402426548,0.73,0.575,0.6246031746031746,0.787374397098501
CREDIT,MLP,0.9990970402426548,0.7333333333333334,0.5416666666666666,0.6090476190476191,0.770732856059975
CREDIT,TabNet,0.9985954350759252,0.5,0.2833333333333333,0.3433333333333333,0.6415410511455655
CREDIT,SVM,0.9984951844998116,0.25,0.1083333333333333,0.1466666666666666,0.554141541038526
CREDIT,LightGBM,0.9975422001075982,0.5855555555555556,0.5166666666666666,0.4969841269841271,0.7574793648470042
CREDIT,TabTransformer,0.999046914954598,0.85,0.5333333333333333,0.638095238095238,0.7665661893933085
LITNET,Decision Tree,0.9974069749750557,0.9285456524984262,0.9103333333333332,0.9170100304901254,0.9545737812911727
LITNET,Random Forest,0.9982496997023501,0.9471046509712178,0.9465,0.9453619190305144,0.9727888669301713
LITNET,Bagging,0.998314508516349,0.9431827508101872,0.9546666666666667,0.9476770041480311,0.9768392621870883
LITNET,XGBoost,0.9976660841438638,0.9273776223776224,0.9298333333333334,0.9258230449074887,0.9642908432147562
LITNET,MLP,0.9957211052298444,0.9049201281809978,0.8363333333333334,0.8609414533307971,0.917310276679842
LITNET,TabNet,0.9963046367302063,0.9597586206896551,0.8076666666666668,0.8721243642608856,0.9035039525691699
LITNET,SVM,0.9841167970828468,0.0,0.0,0.0,0.5
LITNET,LightGBM,0.9982496997023501,0.9434996151053123,0.9504999999999999,0.9455219323135615,0.9747559288537548
LITNET,TabTransformer,0.9957860401310297,0.9361048791025908,0.7913333333333334,0.8556373218590135,0.895205533596838
UGR,Decision Tree,0.9957619047619048,0.3816666666666666,0.2107142857142857,0.2619447219447219,0.6046880295695659
UGR,Random Forest,0.9967142857142856,0.5716666666666667,0.2125,0.2908080808080808,0.6060588296689593
UGR,Bagging,0.9966190476190476,0.4666666666666667,0.1982142857142857,0.2742424242424243,0.5988920605331987
UGR,XGBoost,0.9966666666666664,0.5466666666666666,0.1964285714285714,0.2783061383061383,0.5980231268025349
UGR,MLP,0.9963333333333332,0.0,0.0,0.0,0.5
UGR,TabNet,0.9962857142857142,0.0,0.0,0.0,0.4999760994263862
UGR,SVM,0.9963333333333332,0.0,0.0,0.0,0.5
UGR,LightGBM,0.9967619047619048,0.625,0.1964285714285714,0.2956565656565656,0.598070893691893
UGR,TabTransformer,0.9963333333333332,0.0,0.0,0.0,0.5
