Dataset,Model,Accuracy,Precision,Recall,F1,ROC AUC
CIC_IDS2017,Decision Tree,0.9953520644825384,0.9948579652643804,0.9958545079446196,0.9953548473799844,0.9953520348131114
CIC_IDS2017,Random Forest,0.995948709402586,0.9961078044448224,0.9957916938742676,0.9959487945243256,0.9959486699031884
CIC_IDS2017,Bagging,0.9959487587071936,0.9953606844956582,0.9965455415811008,0.9959517506037576,0.9959487487658002
CIC_IDS2017,XGBoost,0.9965139965920656,0.996049395807036,0.9969850034857274,0.9965160532882816,0.9965139176737424
CIC_IDS2017,MLP,0.931787794940164,0.922593270510942,0.947678245275341,0.9329217550832536,0.9317872121120354
CIC_IDS2017,TabNet,0.9071976641449004,0.9621924460942706,0.848007023504213,0.8972135598015424,0.9072015957060886
CIC_IDS2017,SVM,0.5731423897351752,0.540632893543132,0.973494118426407,0.6951859406250144,0.5731424503244409
CIC_IDS2017,LightGBM,0.9967024486640425,0.9961762345873753,0.9972362991984404,0.9967046902648606,0.9967023598847976
CIC_IDS2017,TabTransformer,0.8907101145444649,0.8924282019707055,0.905348344042876,0.8916066891263636,0.8907154258423317
UNSW,Decision Tree,0.997872699806502,0.9972240774694996,0.9985256417766428,0.9978741222037458,0.997872708663279
UNSW,Random Forest,0.9982097192941792,0.9966838775604924,0.9997472442541072,0.9982127875393556,0.9982097104074872
UNSW,Bagging,0.998167600731824,0.997017226090064,0.9993259965115838,0.9981698861942732,0.9981675874083296
UNSW,XGBoost,0.998441400226348,0.99710275893945,0.9997893672532646,0.9984438577589574,0.9984413957783276
UNSW,MLP,0.5,0.25,0.5,0.3333333320184483,0.5
UNSW,TabNet,0.9972619296291242,0.9945971361399965,0.9999578770008424,0.9972697883603764,0.9972619251754946
UNSW,SVM,0.742291486717368,0.6238044125351971,0.9,0.7349404304134699,0.7423125526537488
UNSW,LightGBM,0.9985467121610438,0.9973957822516374,0.9997051212549496,0.9985487004875406,0.9985467032762214
UNSW,TabTransformer,0.5000210659363808,0.2000105329681904,0.4,0.2666760286476618,0.5
CREDIT,Decision Tree,0.9981660752897874,0.9975420946801126,0.9987941717628828,0.9981671464394268,0.998166068918172
CREDIT,Random Forest,0.9998241458485596,0.999648543949782,1.0,0.9998242026288472,0.999824158461822
CREDIT,Bagging,0.9990704464295858,0.9985948806748888,0.9995478144110808,0.9990709888317748,0.9990704527156123
CREDIT,XGBoost,0.9997236496473828,0.9994477658242824,1.0,0.99972376318579,0.999723655949259
CREDIT,MLP,0.9997236559587688,0.9994478414658744,1.0,0.9997237884154871,0.999723655949259
CREDIT,TabNet,0.999296570771466,0.9985968656570654,1.0,0.9992974655733814,0.9992966464668898
CREDIT,SVM,0.9933175674908076,0.98681385888216,1.0,0.9933625962528968,0.9933174789063348
CREDIT,LightGBM,0.999799026531805,0.9995983179327051,1.0,0.9997990833120928,0.9997990454532836
CREDIT,TabTransformer,0.9997990202204188,0.9995983935236924,1.0,0.9997991085291243,0.999799020214079
LITNET,Decision Tree,0.9901844532279316,0.9807701239607882,1.0,0.9902858549386128,0.9901844532279315
LITNET,Random Forest,0.9986824769433467,0.9977002177995067,0.9996706192358367,0.9986840801162394,0.9986824769433467
LITNET,Bagging,0.9986495388669303,0.9973087986650271,1.0,0.9986519745011707,0.9986495388669303
LITNET,XGBoost,0.9974308300395256,0.9948903887543888,1.0,0.997438033828276,0.9974308300395256
LITNET,MLP,0.9892951251646904,0.9802231715681563,0.9987483530961793,0.9893970701447182,0.9892951251646902
LITNET,TabNet,0.9793478260869565,0.9888555962304482,0.9698945981554677,0.9789568589553468,0.9793478260869565
LITNET,SVM,0.908794466403162,0.8813300922584215,0.9448616600790511,0.9119710552218546,0.908794466403162
LITNET,LightGBM,0.9987154150197629,0.9977002609967602,0.9997364953886694,0.9987170073399405,0.998715415019763
LITNET,TabTransformer,0.9865942028985506,0.9778989119508574,0.9957180500658762,0.9866910260886492,0.9865942028985506
UGR,Decision Tree,0.9554558584674848,0.943375844287198,0.969125848795813,0.9560529454379294,0.9554562622928652
UGR,Random Forest,0.9716819436163482,0.9692484223412268,0.9742872992831426,0.9717557600864748,0.9716821139206624
UGR,Bagging,0.972159863712476,0.9699459203434534,0.9745262593421212,0.9722260748200964,0.97215999978075
UGR,XGBoost,0.9451082578909016,0.9287190404419324,0.9642976588628762,0.9461473680500372,0.9451081246876823
UGR,MLP,0.882497961169706,0.8351603240435803,0.9533515615650456,0.8902779966142734,0.8824973461570437
UGR,TabNet,0.821393023659569,0.8053862645985159,0.8498285736210752,0.8256824551007071,0.8213921553133041
UGR,SVM,0.8239259419167517,0.8287527971035861,0.8166139247733728,0.8226235815586455,0.823926187080855
UGR,LightGBM,0.9519430224031472,0.9332761018971432,0.9735223895731836,0.9529646669365374,0.951943197711757
UGR,TabTransformer,0.8669170601552023,0.8158839492642788,0.9484281119163488,0.8769874970825298,0.8669150514461845
