Dataset,Modelo,Mejores Parametros,CV F1 Macro
CIC_IDS2017,Decision Tree,"{'max_depth': None, 'min_samples_split': 2}",0.9974561768354124
CIC_IDS2017,Random Forest,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 100}",0.9981156915702752
CIC_IDS2017,Bagging,"{'max_samples': 1.0, 'n_estimators': 200}",0.9975503937024888
CIC_IDS2017,XGBoost,"{'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 200}",0.9978644483768448
CIC_IDS2017,MLP,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 50)}",0.9343652069632502
CIC_IDS2017,TabNet,"{'gamma': 1.0, 'n_a': 8, 'n_d': 16, 'n_steps': 3}",0.9688431626300792
CIC_IDS2017,SVM,"{'C': 1, 'gamma': 'scale', 'kernel':'rbf'}",0.6960900043040604
UNSW,SVM,"{'C': 1, 'gamma': 'scale', 'kernel':'rbf'}",0.0
CREDIT,SVM,"{'C': 1, 'gamma': 'scale', 'kernel':'rbf'}",0.9923727661855078
LITNET,SVM,"{'C': 1, 'gamma': 'scale', 'kernel':'rbf'}",0.9923727661855078
UGR,SVM,"{'C': 1, 'gamma': 'scale', 'kernel':'rbf'}",0.7371504703682649
CIC_IDS2017,LightGBM,"{'learning_rate': 0.1, 'max_depth': 20, 'n_estimators': 500, 'num_leaves': 64}",0.9983355273893872
CIC_IDS2017,TabTransformer,"{'depth': 3, 'dim': 64, 'epochs': 20, 'lr': 0.001}",0.8916873492332065
UNSW,Decision Tree,"{'max_depth': None, 'min_samples_split': 2}",0.9985256297158553
UNSW,Random Forest,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 100}",0.9979569398199297
UNSW,Bagging,"{'max_samples': 1.0, 'n_estimators': 50}",0.9981675659107819
UNSW,XGBoost,"{'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 200}",0.998293941486379
UNSW,MLP,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,)}",0.3333333333333333
UNSW,TabNet,"{'gamma': 1.0, 'n_a': 8, 'n_d': 16, 'n_steps': 5}",0.9973250573018992
UNSW,LightGBM,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500, 'num_leaves': 64}",0.9985677546626688
UNSW,TabTransformer,"{'depth': 3, 'dim': 16, 'epochs': 10, 'lr': 0.001}",0.3333333333333333
CREDIT,Decision Tree,"{'max_depth': 10, 'min_samples_split': 2}",0.9993970755977813
CREDIT,Random Forest,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 100}",0.9998743901612223
CREDIT,Bagging,"{'max_samples': 0.8, 'n_estimators': 50}",0.9996231685316467
CREDIT,XGBoost,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.9997990265257174
CREDIT,MLP,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 50)}",0.9996482897337796
CREDIT,TabNet,"{'gamma': 1.5, 'n_a': 16, 'n_d': 8, 'n_steps': 3}",0.9995226873186676
CREDIT,LightGBM,"{'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 500, 'num_leaves': 64}",0.9997236571994028
CREDIT,TabTransformer,"{'depth': 6, 'dim': 64, 'epochs': 20, 'lr': 0.001}",0.9997990208349079
LITNET,Decision Tree,"{'max_depth': 5, 'min_samples_split': 2}",0.9999650264050642
LITNET,Random Forest,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 100}",1.0
LITNET,Bagging,"{'max_samples': 0.5, 'n_estimators': 100}",0.9999300528093583
LITNET,XGBoost,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.9999300528085883
LITNET,MLP,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,)}",0.9999650264050642
LITNET,TabNet,"{'gamma': 1.0, 'n_a': 16, 'n_d': 8, 'n_steps': 3}",1.0
LITNET,LightGBM,"{'learning_rate': 0.01, 'max_depth': -1, 'n_estimators': 500, 'num_leaves': 31}",0.9999300528093583
LITNET,TabTransformer,"{'depth': 3, 'dim': 16, 'epochs': 10, 'lr': 0.001}",0.9999650264050642
UGR,Decision Tree,"{'max_depth': None, 'min_samples_split': 10}",0.9817125692086729
UGR,Random Forest,"{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 100}",0.9823344909085168
UGR,Bagging,"{'max_samples': 1.0, 'n_estimators': 50}",0.9819517739090265
UGR,XGBoost,"{'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 200}",0.976831141680211
UGR,MLP,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (100, 50)}",0.8738075015284457
UGR,TabNet,"{'gamma': 1.5, 'n_a': 8, 'n_d': 16, 'n_steps': 3}",0.7933938936202161
UGR,LightGBM,"{'learning_rate': 0.1, 'max_depth': 20, 'n_estimators': 200, 'num_leaves': 64}",0.9811862850091302
UGR,TabTransformer,"{'depth': 3, 'dim': 32, 'epochs': 20, 'lr': 0.001}",0.8613303133132563
