Dataset,Modelo,Mejores Parametros,CV F1 Macro
CIC_IDS2017,Decision Tree,"{'max_depth': None, 'min_samples_split': 2}",0.994190059331142
CIC_IDS2017,Random Forest,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 200}",0.9954776668207236
CIC_IDS2017,Bagging,"{'max_samples': 0.8, 'n_estimators': 200}",0.995446263457318
CIC_IDS2017,XGBoost,"{'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 100}",0.9962627949729402
CIC_IDS2017,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100, 50)}",0.9393023689066644
CIC_IDS2017,LightGBM,"{'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 500, 'num_leaves': 64}",0.9965140375502828
CIC_IDS2017,SVM,"{'C': 1, 'gamma': 'scale', 'kernel':'rbf'}",0.6961782158195321
CIC_IDS2017,TabNet,"{'gamma': 1.5, 'n_a': 16, 'n_d': 8, 'n_steps': 3}",0.9620553175390272
UNSW,Decision Tree,"{'max_depth': None, 'min_samples_split': 2}",0.9979148228452694
UNSW,Random Forest,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 100}",0.9979780041006135
UNSW,Bagging,"{'max_samples': 1.0, 'n_estimators': 50}",0.998209694677335
UNSW,XGBoost,"{'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 100}",0.9985045671977928
UNSW,MLP,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,)}",0.3333333333333333
UNSW,LightGBM,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500, 'num_leaves': 64}",0.998546692119882
UNSW,SVM,"{'C': 1, 'gamma': 'scale', 'kernel':'rbf'}",0.7347492073799394
UNSW,TabNet,"{'gamma': 1.0, 'n_a': 16, 'n_d': 16, 'n_steps': 3}",0.9973461211989522
CREDIT,Decision Tree,"{'max_depth': None, 'min_samples_split': 2}",0.9977892685701876
CREDIT,Random Forest,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 100}",0.9997990246316352
CREDIT,Bagging,"{'max_samples': 0.8, 'n_estimators': 50}",0.9991207264639188
CREDIT,XGBoost,"{'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 100}",0.9996482935467764
CREDIT,MLP,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 50)}",0.9997487765077364
CREDIT,LightGBM,"{'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 200, 'num_leaves': 31}",0.999799020835764
CREDIT,SVM,"{'C': 1, 'gamma': 'scale', 'kernel':'rbf'}",0.9928175509344036
CREDIT,TabNet,"{'gamma': 1.5, 'n_a': 16, 'n_d': 16, 'n_steps': 3}",0.9997738977187152
LITNET,Decision Tree,"{'max_depth': 5, 'min_samples_split': 2}",0.9999650264050642
LITNET,Random Forest,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 100}",1.0
LITNET,Bagging,"{'max_samples': 0.5, 'n_estimators': 100}",0.9999300528093584
LITNET,XGBoost,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.9999650264050642
LITNET,MLP,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 50)}",0.9999650264050642
LITNET,LightGBM,"{'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 200, 'num_leaves': 31}",0.9999650264050642
LITNET,SVM,"{'C': 1, 'gamma': 'scale', 'kernel':'rbf'}",0.9928175509344036
LITNET,TabNet,"{'gamma': 1.0, 'n_a': 8, 'n_d': 16, 'n_steps': 3}",1.0
UGR,Decision Tree,"{'max_depth': None, 'min_samples_split': 2}",0.9606650882561796
UGR,Random Forest,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 200}",0.9713712535376496
UGR,Bagging,"{'max_samples': 0.8, 'n_estimators': 200}",0.9708693865805212
UGR,XGBoost,"{'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 200}",0.9463012474964082
UGR,MLP,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 50)}",0.8827173530902205
UGR,LightGBM,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500, 'num_leaves': 64}",0.9515899154548896
UGR,SVM,"{'C': 1, 'gamma': 'scale', 'kernel':'rbf'}",0.9606650882561796
UGR,TabNet,"{'gamma': 1.5, 'n_a': 8, 'n_d': 8, 'n_steps': 3}",0.8296693158269358
CIC_IDS2017,TabTransformer,"{'depth': 8, 'dim': 16, 'epochs': 20, 'lr': 0.001}",0.8774330583029905
UNSW,TabTransformer,"{'depth': 3, 'dim': 32, 'epochs': 10, 'lr': 0.001}",0.6666666666666666
CREDIT,TabTransformer,"{'depth': 3, 'dim': 64, 'epochs': 20, 'lr': 0.0005}",0.9997739621055183
LITNET,TabTransformer,"{'depth': 6, 'dim': 16, 'epochs': 20, 'lr': 0.001}",0.9999650264050642
UGR,TabTransformer,"{'depth': 3, 'dim': 16, 'epochs': 20, 'lr': 0.001}",0.8702326848883101
