Model,Accuracy,Precision,Recall,F1,dataset,ratio,sampler,seed,n_classes,nrows,nfeat
Bagging,0.991304347826087,0.995644599303136,0.5833333333333334,0.6406699162604674,abalone-20_vs_8-9-10,0.0,Original,0,2,1916,10
Bagging,0.977391304347826,0.6461627661817415,0.9061218512009374,0.7116237799467613,abalone-20_vs_8-9-10,0.6,adasyn,0,2,1916,10
Bagging,0.9721739130434782,0.6240990990990991,0.903485647334505,0.6851902545852724,abalone-20_vs_8-9-10,0.8,adasyn,0,2,1916,10
Bagging,0.977391304347826,0.6461627661817415,0.9061218512009374,0.7116237799467613,abalone-20_vs_8-9-10,1.0,adasyn,0,2,1916,10
Bagging,0.9930434782608696,0.9965095986038396,0.6666666666666666,0.7482486865148862,abalone-20_vs_8-9-10,0.6,borderline,0,2,1916,10
Bagging,0.991304347826087,0.8298368298368298,0.6657879320445226,0.7200311617489532,abalone-20_vs_8-9-10,0.8,borderline,0,2,1916,10
Bagging,0.9930434782608696,0.9965095986038396,0.6666666666666666,0.7482486865148862,abalone-20_vs_8-9-10,1.0,borderline,0,2,1916,10
Bagging,0.9756521739130436,0.6379912228206663,0.9052431165787932,0.7021166370633511,abalone-20_vs_8-9-10,0.6,corsmote,0,2,1916,10
Bagging,0.9791304347826087,0.6553555456171736,0.9070005858230814,0.721953578336557,abalone-20_vs_8-9-10,0.8,corsmote,0,2,1916,10
Bagging,0.9791304347826087,0.6553555456171736,0.9070005858230814,0.721953578336557,abalone-20_vs_8-9-10,1.0,corsmote,0,2,1916,10
Bagging,0.9721739130434782,0.6240990990990991,0.903485647334505,0.6851902545852724,abalone-20_vs_8-9-10,0.6,smote,0,2,1916,10
Bagging,0.9634782608695652,0.5990909090909091,0.8990919742237844,0.6519069445645593,abalone-20_vs_8-9-10,0.8,smote,0,2,1916,10
Bagging,0.9669565217391304,0.6077898550724637,0.9008494434680728,0.6639392168322619,abalone-20_vs_8-9-10,1.0,smote,0,2,1916,10
Decision Tree,0.982608695652174,0.6214726631393298,0.661394258933802,0.6384557344064385,abalone-20_vs_8-9-10,0.0,Original,0,2,1916,10
Decision Tree,0.9686956521739132,0.5806403351286655,0.7368189806678382,0.6170071047957371,abalone-20_vs_8-9-10,0.6,adasyn,0,2,1916,10
Decision Tree,0.9721739130434782,0.6093157789746659,0.8210310486233157,0.6595618709295441,abalone-20_vs_8-9-10,0.8,adasyn,0,2,1916,10
Decision Tree,0.9669565217391304,0.5934330410864707,0.8183948447568834,0.6396886646218792,abalone-20_vs_8-9-10,1.0,adasyn,0,2,1916,10
Decision Tree,0.9843478260869564,0.6393360160965795,0.662272993555946,0.6498883702049929,abalone-20_vs_8-9-10,0.6,borderline,0,2,1916,10
Decision Tree,0.9930434782608696,0.8315758640890452,0.8315758640890452,0.8315758640890452,abalone-20_vs_8-9-10,0.8,borderline,0,2,1916,10
Decision Tree,0.977391304347826,0.5873629916183107,0.6587580550673696,0.6119100773583926,abalone-20_vs_8-9-10,1.0,borderline,0,2,1916,10
Decision Tree,0.9756521739130436,0.65,0.9876977152899824,0.7245414727621133,abalone-20_vs_8-9-10,0.6,corsmote,0,2,1916,10
